,frontend,backend
0,3,1
1,0,2
2,0,1
3,0,0
4,1,1
5,0,1
6,0,0
7,0,1
8,0,1
9,0,1
10,0,1
11,0,0
12,1,1
13,1,2
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,0
20,1,2
21,0,1
22,0,0
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,0
31,0,1
32,0,1
33,0,0
34,0,1
35,0,0
36,0,1
37,0,2
38,0,1
39,0,1
40,0,0
41,0,0
42,2,1
43,0,1
44,0,1
45,0,0
46,1,1
47,0,2
48,1,0
49,0,1
50,0,1
51,1,0
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,0
61,0,1
62,0,0
63,0,0
64,0,1
65,0,0
66,0,0
67,0,0
68,0,0
69,0,1
70,0,1
71,0,1
72,0,1
73,1,0
74,0,0
75,0,1
76,0,0
77,0,0
78,0,1
79,0,1
80,0,1
81,0,0
82,0,1
83,0,1
84,0,1
85,0,0
86,0,1
87,0,1
88,0,2
89,0,1
90,0,1
91,0,0
92,0,1
93,0,0
94,0,0
95,0,0
96,1,2
97,0,0
98,0,0
99,0,1
100,0,0
101,0,0
102,0,0
103,1,1
104,0,1
105,0,0
106,1,1
107,0,0
108,3,2
109,0,1
110,1,0
111,0,1
112,0,1
113,0,0
114,0,0
115,0,0
116,3,0
117,0,0
118,0,0
119,0,0
120,3,1
121,0,1
122,0,0
123,0,0
124,0,1
125,0,0
126,0,3
127,0,0
128,0,0
129,0,0
130,0,1
131,0,1
132,0,0
133,2,0
134,0,1
135,0,1
136,0,0
137,0,2
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,1
151,0,1
152,1,1
153,0,1
154,0,0
155,0,0
156,0,0
157,0,0
158,0,1
159,0,1
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,1
167,0,0
168,0,0
169,0,0
170,0,1
171,0,0
172,3,1
173,0,0
174,0,1
175,0,0
176,0,1
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,1
183,0,0
184,0,1
185,0,1
186,1,2
187,0,0
188,1,1
189,0,0
190,0,1
191,0,0
192,0,1
193,0,0
194,0,0
195,0,1
196,3,1
197,0,1
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,1,2
205,1,1
206,0,1
207,0,1
208,1,0
209,0,0
210,0,0
211,2,1
212,0,1
213,0,2
214,1,0
215,0,0
216,0,1
217,1,1
218,0,1
219,0,2
220,0,1
221,0,1
222,0,0
223,0,0
224,0,0
225,0,0
226,1,1
227,1,1
228,0,0
229,0,0
230,0,0
231,0,0
232,0,3
233,0,0
234,0,0
235,0,1
236,0,1
237,0,1
238,0,1
239,0,0
240,0,1
241,0,1
242,0,1
243,2,0
244,0,1
245,0,0
246,0,1
247,0,0
248,0,1
249,0,1
250,0,0
251,0,1
252,0,0
253,0,1
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,2
260,0,0
261,0,0
262,0,0
263,0,1
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,1
272,0,0
273,0,1
274,0,1
275,0,0
276,0,1
277,0,0
278,0,1
279,0,1
280,0,1
281,0,1
282,0,1
283,0,1
284,0,0
285,0,1
286,0,0
287,0,0
288,0,1
289,0,0
290,0,1
291,0,1
292,0,0
293,0,2
294,0,0
295,0,1
296,0,1
297,0,0
298,0,1
299,0,2
300,0,1
301,0,0
302,0,0
303,0,2
304,0,0
305,0,0
306,0,3
307,0,1
308,0,2
309,0,1
310,0,1
311,0,0
312,0,2
313,2,0
314,0,1
315,0,0
316,0,1
317,0,0
318,0,0
319,0,1
320,0,0
321,0,1
322,0,1
323,0,2
324,0,1
325,0,0
326,0,1
327,0,1
328,0,0
329,0,0
330,1,0
331,0,1
332,0,1
333,0,0
334,0,2
335,0,1
336,0,1
337,0,0
338,0,0
339,0,0
340,0,1
341,2,0
342,0,0
343,0,1
344,0,0
345,0,0
346,0,0
347,1,2
348,0,1
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,1
355,0,0
356,1,0
357,0,0
358,0,0
359,0,0
360,0,0
361,1,1
362,0,0
363,0,1
364,1,1
365,2,1
366,0,0
367,0,1
368,1,0
369,2,4
370,0,0
371,0,0
372,0,1
373,0,1
374,0,1
375,0,0
376,0,0
377,0,0
378,0,0
379,0,1
380,0,1
381,0,1
382,0,0
383,0,1
384,0,0
385,0,1
386,0,1
387,0,0
388,0,1
389,0,0
390,0,0
391,0,1
392,0,1
393,0,1
394,0,1
395,0,1
396,0,1
397,0,0
398,0,1
399,0,1
400,0,0
401,0,1
402,1,1
403,1,1
404,0,1
405,0,1
406,0,0
407,0,0
408,0,1
409,0,1
410,0,1
411,0,0
412,0,1
413,0,1
414,0,0
415,0,2
416,0,0
417,0,1
418,0,0
419,0,1
420,0,1
421,0,1
422,0,0
423,2,1
424,0,1
425,0,0
